count,mean,median,std
2868,40.77,35.0,24.74
931,48.0,45.0,26.68
617,35.71,32.0,19.3
426,36.84,32.99,20.32
384,23.97,19.99,12.8
345,31.57,30.0,14.12
344,27.14,25.99,12.87
341,30.2,27.99,16.59
336,32.19,29.99,16.97
321,129.94,110.0,40.07
310,45.77,42.0,18.51
304,39.6,35.0,21.19
298,40.16,36.0,19.94
268,30.19,26.0,14.5
256,28.64,25.99,12.09
253,49.14,45.0,21.42
226,85.28,79.0,48.33
207,32.48,30.0,17.75
201,34.1,32.0,18.52
194,102.23,50.0,102.33
177,41.91,36.0,29.54
154,48.99,45.0,21.07
154,46.43,35.99,28.51
150,34.74,29.99,16.61
148,37.15,39.99,15.71
146,36.45,35.0,14.93
144,47.52,38.0,25.58
141,35.95,34.0,19.0
129,27.34,22.0,20.24
123,33.02,28.0,22.49
122,88.77,85.0,39.58
121,27.77,26.99,11.07
119,46.0,45.0,16.16
113,38.39,39.99,11.39
110,26.33,25.0,9.27
100,62.88,54.95,37.73
96,75.19,73.0,17.97
95,29.58,28.0,15.21
88,26.84,25.0,20.58
86,78.51,72.5,29.28
84,35.93,33.0,18.76
80,19.64,18.0,7.4
79,44.66,40.0,19.66
77,25.94,24.99,9.62
76,54.21,44.95,21.26
74,47.99,45.0,26.21
74,38.86,37.5,21.64
73,38.86,32.0,19.07
72,38.19,37.0,10.88
66,35.59,32.95,13.77
66,78.83,70.0,43.7
66,33.7,29.0,14.6
65,58.91,55.0,33.81
64,44.16,45.5,14.41
64,61.78,55.5,19.98
63,38.17,35.0,12.68
63,26.27,25.0,10.76
62,34.61,29.0,18.16
61,117.11,89.0,94.67
61,22.84,22.0,6.44
60,39.1,30.0,27.81
59,64.95,55.0,46.68
58,47.97,45.0,17.66
57,36.46,36.0,9.28
56,31.11,26.0,13.77
55,43.29,38.0,20.29
55,25.33,25.0,9.23
55,110.45,110.0,18.09
54,40.61,43.5,22.72
50,57.78,60.0,15.05
49,92.78,88.0,42.16
49,118.35,105.0,43.61
49,65.39,66.0,24.72
48,102.46,85.0,29.52
48,29.93,28.49,9.91
47,64.32,65.0,8.77
45,64.51,62.0,19.75
45,31.02,32.0,5.6
44,29.57,30.0,12.81
44,20.11,20.0,8.87
44,40.68,38.0,10.52
42,126.76,110.0,39.09
42,159.4,175.0,102.51
41,38.8,36.0,13.2
41,25.07,24.0,6.78
40,133.55,139.0,32.05
39,70.15,60.0,35.55
39,29.13,28.0,6.91
38,93.05,89.0,14.64
37,44.81,38.0,22.6
37,27.73,23.0,9.55
36,102.67,102.5,37.07
36,44.92,43.0,13.99
36,46.83,35.0,27.75
36,40.86,39.5,16.68
35,34.89,35.0,14.03
35,22.17,18.0,8.32
35,59.14,60.0,23.28
35,147.51,149.0,54.65
34,69.88,65.0,14.04
34,37.98,37.95,12.31
33,41.67,35.0,16.86
33,57.67,58.0,6.08
33,48.64,50.0,12.15
33,36.27,32.0,13.11
32,30.16,30.0,7.78
32,51.78,52.0,14.05
32,37.34,35.0,14.52
32,55.98,44.95,29.82
32,49.62,46.5,15.47
32,54.97,49.0,20.41
32,76.47,60.0,66.85
31,54.26,54.0,15.65
31,37.18,30.99,16.58
31,38.29,40.0,19.74
31,23.81,24.0,5.96
31,33.97,30.0,15.41
31,40.55,36.0,18.89
30,35.7,36.0,5.83
30,79.07,50.0,69.34
30,21.43,21.0,8.72
30,18.63,18.0,4.69
29,67.59,65.0,12.04
29,109.9,108.0,16.17
28,37.68,34.0,12.15
28,61.29,52.5,35.82
27,41.31,35.0,15.99
27,36.3,35.0,12.85
27,29.19,30.0,6.47
27,107.67,110.0,14.88
26,101.27,100.0,26.89
26,44.69,40.0,21.56
26,25.42,26.0,3.37
26,57.3,59.95,23.87
25,24.4,26.0,9.3
25,28.43,25.99,16.21
25,86.2,90.0,31.03
24,30.0,30.0,7.76
24,35.5,37.0,4.67
23,53.48,50.0,11.01
23,61.65,60.0,12.46
23,50.57,48.0,16.45
22,28.41,29.0,7.2
22,44.5,42.0,12.42
22,78.45,75.0,35.89
22,29.18,28.0,7.08
22,72.09,75.0,10.41
22,63.32,65.0,7.67
22,61.77,65.0,8.17
22,35.23,35.0,11.54
22,106.59,87.5,27.92
21,35.62,36.0,4.96
21,83.57,55.0,49.55
20,35.25,36.0,5.9
20,95.35,89.99,59.35
20,130.5,119.0,70.73
20,26.0,26.0,3.23
20,27.6,28.0,15.79
20,47.6,46.0,9.96
20,67.25,65.0,10.69
20,33.0,31.0,11.05
20,105.0,85.0,30.39
19,120.21,120.0,37.0
19,82.42,85.0,7.38
19,40.84,35.0,26.87
19,44.2,39.99,20.37
19,49.68,49.0,9.31
19,25.42,24.0,11.57
19,39.05,35.0,18.63
18,37.89,35.0,9.44
18,33.78,37.0,11.14
18,38.33,33.0,29.82
17,47.24,48.0,11.69
17,155.98,179.0,103.23
17,45.76,49.0,6.16
17,42.76,40.0,9.85
17,139.12,150.0,28.68
16,35.69,27.0,19.11
16,38.69,38.0,9.75
16,40.69,38.0,7.68
16,39.62,38.5,11.95
16,48.25,49.0,5.16
16,64.5,67.5,23.71
16,66.44,60.0,26.62
16,26.44,23.5,10.47
15,39.2,36.0,8.8
15,45.13,35.0,38.33
15,32.67,26.0,16.85
15,62.73,60.0,6.77
15,55.8,50.0,23.96
14,36.21,32.5,11.39
14,29.29,25.0,7.81
14,111.43,110.0,7.45
14,64.14,65.0,6.04
14,60.07,58.0,21.74
14,41.79,45.0,6.96
14,163.42,169.0,63.7
14,17.29,17.5,6.56
13,47.31,45.0,13.07
13,54.77,58.0,11.9
13,64.31,65.0,9.15
13,62.77,65.0,8.88
13,45.77,45.0,1.88
13,37.62,36.0,6.23
12,135.0,132.5,65.44
12,26.67,29.0,5.21
12,38.0,35.5,20.7
12,49.08,48.0,17.31
12,100.0,99.0,22.03
12,87.92,85.0,20.05
12,38.83,36.5,17.46
11,41.36,45.0,5.05
11,41.55,44.0,6.68
11,94.45,89.0,19.16
11,38.64,35.0,13.45
11,41.64,42.0,18.4
11,67.36,68.0,8.1
11,39.09,39.0,9.34
11,33.45,36.0,18.67
11,106.82,108.0,13.69
11,55.45,55.0,12.14
11,37.91,35.0,12.2
11,94.55,95.0,6.5
10,34.6,33.5,5.89
10,53.9,50.0,13.04
10,36.2,29.5,14.1
10,33.9,36.0,11.83
10,39.7,37.0,14.16
9,34.67,37.0,7.31
9,34.0,32.0,9.86
9,119.44,125.0,42.02
9,35.67,30.0,13.99
9,36.56,35.0,7.2
9,58.89,62.0,8.31
9,80.44,80.0,7.3
9,103.89,92.0,70.83
9,51.33,39.0,32.16
9,73.89,75.0,6.51
9,32.0,35.0,6.5
9,108.67,120.0,27.11
9,17.11,16.0,4.68
9,95.0,95.0,6.12
8,38.0,39.0,3.85
8,32.88,33.5,8.84
8,84.38,57.5,67.48
8,35.75,36.0,4.95
8,81.5,80.0,7.03
8,67.0,75.5,15.46
8,54.62,52.5,16.51
8,21.25,20.0,5.01
8,41.25,38.0,10.83
8,86.25,85.0,35.13
8,24.38,25.0,7.01
8,49.75,50.0,10.31
8,70.25,75.0,33.71
7,20.0,18.0,7.48
7,107.86,110.0,35.92
7,35.14,36.0,4.14
7,58.0,58.0,16.38
7,43.0,38.0,15.38
7,38.14,34.0,16.9
6,21.0,22.0,8.65
6,22.33,20.0,8.04
6,53.33,50.0,6.06
6,55.0,42.5,22.8
6,95.0,95.0,3.16
6,60.0,62.5,6.32
6,56.33,56.5,3.83
6,31.83,33.5,3.92
6,34.17,37.0,6.94
6,32.67,35.0,5.01
6,32.67,32.0,3.01
6,33.67,32.0,5.43
6,30.67,32.0,3.01
6,45.28,43.75,11.57
6,42.0,36.5,11.44
6,40.83,41.5,8.82
6,66.67,70.0,11.98
6,56.83,46.5,21.74
5,59.4,65.0,14.98
5,40.0,40.0,1.41
5,44.0,46.0,4.69
5,40.2,38.0,9.39
5,27.79,27.99,1.79
5,134.0,130.0,8.94
5,30.8,28.0,3.83
5,56.4,55.0,9.48
5,28.8,22.0,12.13
5,35.6,40.0,6.07
5,153.0,45.0,222.45
5,85.0,69.0,41.59
5,57.6,55.0,20.08
5,175.0,195.0,93.61
4,90.25,74.5,60.68
4,57.5,58.5,8.81
4,43.0,42.0,10.52
4,96.25,105.0,24.63
4,103.25,105.0,3.5
4,65.75,62.0,40.19
4,37.0,38.0,5.03
4,28.0,26.0,5.42
4,31.25,35.0,15.48
4,55.0,55.0,4.08
4,47.5,51.5,10.85
4,74.0,72.0,4.0
4,95.0,95.0,4.08
4,28.75,28.5,2.75
4,37.5,36.0,4.43
4,33.0,34.0,8.25
4,24.5,26.5,6.56
4,45.75,44.0,15.24
4,50.25,43.0,26.89
4,107.5,110.0,20.62
4,38.25,39.0,10.24
3,28.33,25.0,8.5
3,60.0,60.0,5.0
3,30.0,26.0,6.93
3,63.33,68.0,9.87
3,129.33,170.0,88.33
3,36.67,40.0,5.77
3,28.67,26.0,4.62
3,31.0,34.0,5.2
3,122.0,135.0,22.52
3,86.33,89.0,20.13
3,88.33,85.0,5.77
3,9.67,10.0,3.51
3,58.33,65.0,16.07
3,58.0,46.0,37.47
3,54.33,49.0,9.24
3,23.0,28.0,8.66
3,53.67,48.0,9.81
3,60.0,58.0,3.46
3,100.0,100.0,5.0
3,200.67,220.0,159.88
3,105.67,99.0,20.82
3,95.0,105.0,17.32
3,36.67,39.0,4.04
3,105.67,99.0,30.55
3,22.67,24.0,6.11
3,42.67,42.0,5.03
2,52.5,52.5,20.51
2,109.0,109.0,28.28
2,82.5,82.5,79.9
2,65.0,65.0,0.0
2,6.0,6.0,1.41
2,31.0,31.0,1.41
2,35.5,35.5,4.95
2,147.5,147.5,45.96
2,15.0,15.0,0.0
2,52.0,52.0,0.0
2,26.5,26.5,2.12
2,72.5,72.5,3.54
2,76.0,76.0,5.66
2,77.5,77.5,31.82
2,14.0,14.0,8.49
2,35.0,35.0,0.0
2,31.0,31.0,1.41
2,55.0,55.0,7.07
2,61.0,61.0,4.24
2,88.5,88.5,79.9
2,34.49,34.49,12.02
2,40.0,40.0,0.0
2,30.0,30.0,0.0
2,48.0,48.0,0.0
1,85.0,85.0,
1,26.0,26.0,
1,30.0,30.0,
1,60.0,60.0,
1,29.0,29.0,
1,22.0,22.0,
1,8.0,8.0,
1,80.0,80.0,
1,10.0,10.0,
1,29.0,29.0,
1,45.0,45.0,
1,180.0,180.0,
1,130.0,130.0,
1,36.0,36.0,
1,15.0,15.0,
1,25.0,25.0,
1,42.0,42.0,
1,75.0,75.0,
1,30.0,30.0,
1,25.0,25.0,
1,14.0,14.0,
1,200.0,200.0,
1,124.0,124.0,
1,38.0,38.0,
1,30.0,30.0,
1,28.0,28.0,
1,85.0,85.0,
1,32.0,32.0,
1,98.0,98.0,
1,130.0,130.0,
1,35.0,35.0,
1,42.0,42.0,
